Comment;Model;MSETrain;MSETest;sMSETrain;sMSETest;R2Train;R2Test;TrainShape;TestShape
text + Очистка + Нормализация + только ru_words tfidf + rate_log:True;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";30.53508580944682;833.4707792079602;5.525856115521542;28.8698939937084;0.7051815466016738;-0.2733026242481136;(5000, 3060);(3931, 3060)
text + Очистка + Нормализация + только ru_words hashvect + rate_log:True;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";74.44558938356664;747.600617751916;8.628185752727315;27.34228625685709;0.28122247105001374;-0.14211781890857456;(5000, 1000);(3931, 1000)
text + только доп.фичи + rate_log:False + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";215.09881012076335;686.3324419006167;14.666247308727728;26.19794728410256;0.0240214150318665;-0.04851774192868419;(15722, 8);(3931, 8)
text + только доп.фичи + масштабирование ss + rate_log:False + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";214.42123819280403;688.2525624783126;14.643129385237433;26.234568082556887;0.02709579601562262;-0.05145113159445791;(15722, 8);(3931, 8)
text + только доп.фичи + rate_log:False + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Ridge(alpha=1, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=1, solver='auto', tol=0.001)";215.37542277559987;687.4739141812081;14.67567452540427;26.219723762488577;0.02276632660390132;-0.050261581888814355;(15722, 8);(3931, 8)
text + только доп.фичи + масштабирование ss + rate_log:False + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Ridge(alpha=1, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=1, solver='auto', tol=0.001)";214.42124576489115;688.2601046093233;14.643129643791697;26.234711826306064;0.02709576165841321;-0.051462653792293755;(15722, 8);(3931, 8)
text + только доп.фичи + rate_log:False + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Lasso(alpha=1, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=1,
   selection='cyclic', tol=0.0001, warm_start=False)";215.18338233977778;691.7682928186663;14.669130251646747;26.301488414511187;0.02363768127436694;-0.056822152127145475;(15722, 8);(3931, 8)
text + только доп.фичи + масштабирование ss + rate_log:False + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Lasso(alpha=1, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=1,
   selection='cyclic', tol=0.0001, warm_start=False)";216.60923618085772;703.1046870612388;14.717650497985666;26.516121267282642;0.017168083356055353;-0.07414088830682997;(15722, 8);(3931, 8)
text + только доп.фичи + rate_log:True + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";216.04101297811906;710.1691089786815;14.698333680323055;26.648998273456385;0.019746310902007735;-0.08493328462193972;(15722, 8);(3931, 8)
text + только доп.фичи + масштабирование ss + rate_log:True + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";216.020078347692;712.2835125315379;14.697621520085894;26.688640140170833;0.01984129864726558;-0.0881634825601687;(15722, 8);(3931, 8)
text + только доп.фичи + rate_log:True + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Ridge(alpha=1, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=1, solver='auto', tol=0.001)";216.44940882561852;711.0940203828735;14.712219711029961;26.66634621358677;0.01789327600550772;-0.08634628211091444;(15722, 8);(3931, 8)
text + только доп.фичи + масштабирование ss + rate_log:True + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Ridge(alpha=1, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=1, solver='auto', tol=0.001)";216.02029463162864;712.2830116626639;14.697628877871038;26.6886307566099;0.019840317291346832;-0.08816271737719195;(15722, 8);(3931, 8)
text + только доп.фичи + rate_log:True + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Lasso(alpha=1, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=1,
   selection='cyclic', tol=0.0001, warm_start=False)";218.1411710160108;721.1227294395424;14.769602940364063;26.8537284085384;0.010217158839844975;-0.1016672530174314;(15722, 8);(3931, 8)
text + только доп.фичи + масштабирование ss + rate_log:True + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Lasso(alpha=1, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=1,
   selection='cyclic', tol=0.0001, warm_start=False)";221.93241273412806;741.3204460096323;14.897396172960162;27.227200480578833;-0.006985031749879189;-0.13252353035081876;(15722, 8);(3931, 8)
text + Очистка + Нормализация + разбиение на 3 словаря cvect + rate_log:False + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";19.996543218456548;2586.8547185544703;4.4717494583727015;50.86113170737032;0.8069319345696987;-2.9519668641702568;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря tfidf + rate_log:False + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";20.34138277796742;958.402518063446;4.510142212610088;30.958076782375322;0.8036024837785664;-0.4641622379321575;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря hashvect + rate_log:False + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";37.700179787759765;1320.2486444320978;6.140047213805425;36.33522594442063;0.6360020480300226;-1.0169586091703375;(5000, 3008);(3931, 3008)
text + Очистка + Нормализация + разбиение на 3 словаря cvect + rate_log:False + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Ridge(alpha=1, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=1, solver='auto', tol=0.001)";97.49858566938327;729.6250781336591;9.874137211391346;27.011573040710886;0.058644131051403425;-0.11465638613950624;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря tfidf + rate_log:False + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Ridge(alpha=1, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=1, solver='auto', tol=0.001)";98.8581479990684;733.3010903050331;9.942743484525204;27.07953268254519;0.045517458808275624;-0.12027227101674987;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря hashvect + rate_log:False + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Ridge(alpha=1, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=1, solver='auto', tol=0.001)";98.85797488010115;733.3043150539829;9.942734778726683;27.079592224662154;0.04551913028437671;-0.12027719750176047;(5000, 3008);(3931, 3008)
text + Очистка + Нормализация + разбиение на 3 словаря cvect + rate_log:False + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Lasso(alpha=1, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=1,
   selection='cyclic', tol=0.0001, warm_start=False)";98.19276415884883;737.4598600145763;9.909226213930573;27.156212180909478;0.051941787723345456;-0.12662566998034297;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря tfidf + rate_log:False + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Lasso(alpha=1, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=1,
   selection='cyclic', tol=0.0001, warm_start=False)";98.41669020620206;738.4271080407009;9.920518646028647;27.174015309495594;0.04977976560334041;-0.1281033455997973;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря hashvect + rate_log:False + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Lasso(alpha=1, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=1,
   selection='cyclic', tol=0.0001, warm_start=False)";98.41669020620206;738.4271080407009;9.920518646028647;27.174015309495594;0.04977976560334041;-0.1281033455997973;(5000, 3008);(3931, 3008)
text + Очистка + Нормализация + разбиение на 3 словаря cvect + rate_log:True + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";18.855372813988485;110305781.14548244;4.342277376445278;10502.655909125198;0.8179500170407532;-168514.37463107196;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря tfidf + rate_log:True + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";18.32025102513615;967.3821223054704;4.280216235791849;31.102767116535954;0.8231166564651095;-0.4778804796885683;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря hashvect + rate_log:True + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None,
         normalize=False)";36.087437868653794;5382.475275478783;6.007282070009182;73.36535473558881;0.651573187449397;-7.222867632780794;(5000, 3008);(3931, 3008)
text + Очистка + Нормализация + разбиение на 3 словаря cvect + rate_log:True + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Ridge(alpha=1, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=1, solver='auto', tol=0.001)";98.00392375345314;748.5687024974802;9.899693114104757;27.35998359826775;0.053765055442495546;-0.143596772793668;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря tfidf + rate_log:True + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Ridge(alpha=1, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=1, solver='auto', tol=0.001)";99.1573814876612;752.0397535381709;9.957779947742429;27.42334322321352;0.04262833791755749;-0.14889953626092534;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря hashvect + rate_log:True + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Ridge(alpha=1, copy_X=True, fit_intercept=True, max_iter=None,
   normalize=False, random_state=1, solver='auto', tol=0.001)";99.15738007050334;752.042410262478;9.957779876584103;27.42339166227398;0.04262835160031864;-0.14890359496834082;(5000, 3008);(3931, 3008)
text + Очистка + Нормализация + разбиение на 3 словаря cvect + rate_log:True + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Lasso(alpha=1, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=1,
   selection='cyclic', tol=0.0001, warm_start=False)";100.59757225032696;773.7259901240457;10.029834108813912;27.815930509764467;0.02872319234510534;-0.1820298422580957;(5000, 4422);(3931, 4422)
text + Очистка + Нормализация + разбиение на 3 словаря tfidf + rate_log:True + доп.фичи + tittle_words_count, text_words_count, text_category_int, sites_text_count, ru_words_text_count, en_words_text_count, punctuations_text_count, emotions_text_count;"Lasso(alpha=1, copy_X=True, fit_intercept=True, max_iter=1000,
   normalize=False, positive=False, precompute=False, random_state=1,
   selection='cyclic', tol=0.0001, warm_start=False)";100.59757225032696;773.7259901240457;10.029834108813912;27.815930509764467;0.02872319234510534;-0.1820298422580957;(5000, 4422);(3931, 4422)
